city_fi,postal_regions
Helsinki,366
Espoo,141
Kuopio,134
Oulu,117
Tampere,115
Vantaa,109
Kouvola,92
Jyväskylä,87
Turku,87
Lahti,81
Hämeenlinna,74
Mikkeli,73
Rovaniemi,73
Joensuu,71
Lappeenranta,64
Pori,64
Savonlinna,64
Salo,63
Seinäjoki,56
Lohja,44
Kokkola,41
Porvoo,40
Vaasa,39
Kotka,39
Kajaani,38
Ylöjärvi,37
Raasepori,37
Tuusula,36
Hyvinkää,34
Pieksämäki,34
Kurikka,34
Kauhava,32
Sodankylä,32
Kirkkonummi,31
Iisalmi,31
Jämsä,31
Kangasala,31
Rauma,31
Mustasaari,30
Hollola,30
Leppävirta,30
Nurmijärvi,29
Sastamala,29
Vihti,28
Kittilä,28
Kontiolahti,28
Tornio,28
Varkaus,28
Loviisa,27
Alavus,27
Nokia,27
Orimattila,26
Hamina,26
Nurmes,26
Äänekoski,26
Hämeenkyrö,25
Raahe,25
Laukaa,25
Heinola,24
Lempäälä,24
Mäntsälä,23
Kankaanpää,23
Viitasaari,23
Posio,23
Loimaa,23
Lapinlahti,23
Loppi,23
Pudasjärvi,23
Hattula,22
Kemijärvi,22
Alajärvi,22
Saarijärvi,22
Pälkäne,21
Lieto,21
Närpiö,21
Orivesi,21
Sipoo,21
Liperi,21
Eura,21
Iitti,21
Hausjärvi,20
Imatra,20
Juva,20
Urjala,20
Kitee,20
Lapua,20
Kiuruvesi,20
Suomussalmi,20
Pöytyä,20
Ruokolahti,20
Ilomantsi,19
Janakkala,19
Kangasniemi,19
Järvenpää,19
Parainen,19
Kaarina,19
Kemiönsaari,19
Tammela,19
Riihimäki,19
Salla,19
Asikkala,19
Keuruu,19
Pello,19
Somero,19
Kemi,18
Lieksa,18
Siilinjärvi,18
Forssa,18
Pedersöre,18
Ikaalinen,18
Virrat,18
Vöyri,18
Mänttä-Vilppula,17
Heinävesi,17
Mäntyharju,17
Kauhajoki,17
Säkylä,17
Hankasalmi,17
Pielavesi,17
Kerava,17
Sysmä,17
Kristiinankaupunki,16
Naantali,16
Ruovesi,16
Ulvila,16
Ylitornio,16
Kolari,16
Sotkamo,16
Kuhmoinen,16
Parikkala,16
Parkano,16
Luumäki,16
Vaala,16
Polvijärvi,15
Siikalatva,15
Akaa,15
Valkeakoski,15
Inari,15
Joroinen,15
Ähtäri,14
Karstula,14
Sonkajärvi,14
Pertunmaa,14
Keminmaa,14
Puolanka,14
Enontekiö,14
Masku,14
Raisio,14
Siuntio,14
Haapavesi,14
Hirvensalmi,14
Tuusniemi,14
Maalahti,14
Padasjoki,14
Ranua,14
Siikajoki,14
Vesilahti,14
Taipalsaari,13
Tohmajärvi,13
Muhos,13
Punkalaidun,13
Ii,13
Rantasalmi,13
Eurajoki,13
Kalajoki,13
Pihtipudas,13
Huittinen,13
Juuka,13
Inkoo,12
Muonio,12
Nivala,12
Isokyrö,12
Askola,12
Joutsa,12
Lapinjärvi,12
Merikarvia,12
Tervola,12
Kokemäki,12
Lappajärvi,11
Pyhtää,11
Veteli,11
Rautavaara,11
Ylivieska,11
Kuhmo,11
Jokioinen,11
Puumala,11
Kempele,11
Laihia,11
Muurame,11
Uusikaarlepyy,11
Kuortane,11
Hartola,11
Keitele,11
Humppila,10
Karvia,10
Kuusamo,10
Paltamo,10
Savitaipale,10
Multia,10
Rautjärvi,10
Simo,10
Utajärvi,10
Lemi,10
Uurainen,10
Laitila,10
Pietarsaari,10
Pyhäjoki,10
Sievi,10
Pelkosenniemi,10
Siikainen,10
Uusikaupunki,10
Miehikkälä,10
Paimio,10
Pirkkala,10
Teuva,10
Kruunupyy,9
Nakkila,9
Toholampi,9
Vieremä,9
Konnevesi,9
Petäjävesi,9
Toivakka,9
Liminka,9
Savukoski,9
Sulkava,9
Kaavi,9
Korsnäs,9
Pyhäjärvi,9
Karkkila,9
Kivijärvi,9
Outokumpu,9
Virolahti,9
Mynämäki,9
Ilmajoki,9
Maarianhamina,9
Pyhäranta,9
Tyrnävä,9
Juupajoki,8
Hyrynsalmi,8
Enonkoski,8
Rääkkylä,8
Oulainen,8
Utsjoki,8
Haapajärvi,8
Isojoki,8
Vimpeli,8
Hanko,8
Harjavalta,8
Soini,8
Suonenjoki,8
Vesanto,8
Myrskylä,8
Perho,7
Pukkila,7
Rautalampi,7
Oripää,7
Taivalkoski,7
Kannonkoski,7
Kannus,7
Marttila,7
Pornainen,7
Tervo,7
Kärkölä,7
Kaustinen,7
Aura,7
Evijärvi,7
Brändö,6
Finström,6
Pomarkku,6
Rusko,6
Alavieska,6
Reisjärvi,6
"Koski Tl",6
Ristijärvi,6
Vehmaa,6
Kärsämäki,6
Sauvo,5
Kyyjärvi,5
Karijoki,5
Luoto,5
Kauniainen,5
Jämijärvi,5
Pyhäntä,5
Kihniö,5
Kinnula,4
Lestijärvi,4
Taivassalo,4
Ypäjä,4
Jomala,4
Merijärvi,4
Halsua,4
Kumlinge,3
Luhanka,2
Kaskinen,2
Lumijoki,2
Sund,2
Saltvik,2
Kustavi,1
Eckerö,1
Föglö,1
Sottunga,1
Geta,1
Hammarland,1
Lumparland,1
Vårdö,1
Lemland,1
Nousiainen,1
Hailuoto,1
Kökar,1
