city_fi,only_finnish,both_languages,only_swedish,streetsHavingSwedishName
Luoto,0,220,23,"100.0000 %"
Pedersöre,5,494,13,"99.0234 %"
Kruunupyy,7,423,42,"98.5169 %"
Kaskinen,1,48,4,"98.1132 %"
Korsnäs,10,7,133,"93.3333 %"
Siuntio,29,368,13,"92.9268 %"
Vöyri,32,224,161,"92.3261 %"
Maalahti,27,161,163,"92.3077 %"
Mustasaari,100,497,366,"89.6158 %"
Lapinjärvi,29,229,1,"88.8031 %"
Uusikaarlepyy,45,326,9,"88.1579 %"
Inkoo,68,429,40,"87.3371 %"
Kemiönsaari,126,822,39,"87.2340 %"
Närpiö,86,139,415,"86.5625 %"
Loviisa,172,994,38,"85.7143 %"
Raasepori,271,1531,64,"85.4770 %"
Kirkkonummi,244,1240,9,"83.6571 %"
Pyhtää,69,343,0,"83.2524 %"
Pietarsaari,146,553,9,"79.3785 %"
Porvoo,480,1685,17,"78.0018 %"
Parainen,396,1190,70,"76.0870 %"
Kristiinankaupunki,117,354,6,"75.4717 %"
Sipoo,289,674,34,"71.0130 %"
Vaasa,532,1205,7,"69.4954 %"
Myrskylä,75,168,0,"69.1358 %"
Hanko,170,352,10,"68.0451 %"
Espoo,1824,3424,6,"65.2836 %"
Vantaa,1414,2625,2,"65.0087 %"
Turku,1296,2164,1,"62.5542 %"
Kokkola,780,1233,1,"61.2711 %"
Kauniainen,100,128,0,"56.1404 %"
Helsinki,5306,4632,1,"46.6143 %"
Lohja,1797,874,1,"32.7470 %"
Salo,2811,119,1,"4.0942 %"
Karijoki,115,3,0,"2.5424 %"
Askola,290,4,0,"1.3605 %"
Tuusula,1468,8,2,"0.6766 %"
Kerava,691,4,0,"0.5755 %"
Nurmijärvi,1668,9,0,"0.5367 %"
Reisjärvi,208,0,1,"0.4785 %"
Enonkoski,212,0,1,"0.4695 %"
Enontekiö,241,0,1,"0.4132 %"
Vehmaa,278,0,1,"0.3584 %"
Teuva,436,0,1,"0.2288 %"
Laihia,437,1,0,"0.2283 %"
Riihimäki,869,1,1,"0.2296 %"
Pirkkala,447,0,1,"0.2232 %"
Utajärvi,462,0,1,"0.2160 %"
Uusikaupunki,1023,1,1,"0.1951 %"
Suonenjoki,521,0,1,"0.1916 %"
Luumäki,565,0,1,"0.1767 %"
Parikkala,618,1,0,"0.1616 %"
Karkkila,606,0,1,"0.1647 %"
Lieto,1241,2,0,"0.1609 %"
Merikarvia,663,1,0,"0.1506 %"
Vesilahti,668,0,1,"0.1495 %"
Joutsa,724,0,1,"0.1379 %"
Pudasjärvi,694,0,1,"0.1439 %"
Pälkäne,820,1,0,"0.1218 %"
Loppi,893,0,1,"0.1119 %"
Kalajoki,909,0,1,"0.1099 %"
Mäntsälä,979,1,0,"0.1020 %"
Kauhava,1158,1,0,"0.0863 %"
Tornio,1167,0,1,"0.0856 %"
Hyvinkää,1185,1,0,"0.0843 %"
Vihti,1438,1,0,"0.0695 %"
Rauma,1591,1,0,"0.0628 %"
Mikkeli,3431,1,1,"0.0583 %"
Savonlinna,2583,0,1,"0.0387 %"
Seinäjoki,2617,1,0,"0.0382 %"
Pori,3095,0,1,"0.0323 %"
Tampere,3962,0,1,"0.0252 %"
Hämeenlinna,3507,0,1,"0.0285 %"
Rovaniemi,2924,0,1,"0.0342 %"
Hattula,719,0,0,"0.0000 %"
Heinola,1057,0,0,"0.0000 %"
Hirvensalmi,529,0,0,"0.0000 %"
Kaarina,1416,0,0,"0.0000 %"
Paimio,549,0,0,"0.0000 %"
Taivassalo,362,0,0,"0.0000 %"
Harjavalta,419,0,0,"0.0000 %"
Kankaanpää,1050,0,0,"0.0000 %"
Akaa,913,0,0,"0.0000 %"
Keuruu,964,0,0,"0.0000 %"
Uurainen,338,0,0,"0.0000 %"
Kannonkoski,246,0,0,"0.0000 %"
Puumala,451,0,0,"0.0000 %"
Kuopio,6042,0,0,"0.0000 %"
Pielavesi,457,0,0,"0.0000 %"
Vieremä,217,0,0,"0.0000 %"
Liperi,633,0,0,"0.0000 %"
Oulainen,498,0,0,"0.0000 %"
Pyhäjoki,295,0,0,"0.0000 %"
Kuhmo,700,0,0,"0.0000 %"
Ii,622,0,0,"0.0000 %"
Kuusamo,921,0,0,"0.0000 %"
Pello,284,0,0,"0.0000 %"
Pelkosenniemi,195,0,0,"0.0000 %"
Somero,615,0,0,"0.0000 %"
Valkeakoski,809,0,0,"0.0000 %"
Kuhmoinen,633,0,0,"0.0000 %"
Naantali,1242,0,0,"0.0000 %"
Sauvo,359,0,0,"0.0000 %"
Kustavi,354,0,0,"0.0000 %"
Huittinen,683,0,0,"0.0000 %"
Punkalaidun,286,0,0,"0.0000 %"
Hämeenkyrö,573,0,0,"0.0000 %"
Jyväskylä,4232,0,0,"0.0000 %"
Saarijärvi,939,0,0,"0.0000 %"
Karstula,484,0,0,"0.0000 %"
Hamina,1481,0,0,"0.0000 %"
Rantasalmi,492,0,0,"0.0000 %"
Rautjärvi,509,0,0,"0.0000 %"
Ilmajoki,612,0,0,"0.0000 %"
Leppävirta,754,0,0,"0.0000 %"
Keitele,276,0,0,"0.0000 %"
Sotkamo,860,0,0,"0.0000 %"
Ilomantsi,767,0,0,"0.0000 %"
Nivala,608,0,0,"0.0000 %"
Merijärvi,101,0,0,"0.0000 %"
Hyrynsalmi,278,0,0,"0.0000 %"
Kemi,600,0,0,"0.0000 %"
Ylitornio,370,0,0,"0.0000 %"
Inari,836,0,0,"0.0000 %"
Järvenpää,917,0,0,"0.0000 %"
Pukkila,166,0,0,"0.0000 %"
Kangasala,1757,0,0,"0.0000 %"
Kangasniemi,619,0,0,"0.0000 %"
Masku,674,0,0,"0.0000 %"
Pyhäranta,235,0,0,"0.0000 %"
Forssa,701,0,0,"0.0000 %"
Ikaalinen,687,0,0,"0.0000 %"
Jämijärvi,214,0,0,"0.0000 %"
Äänekoski,1171,0,0,"0.0000 %"
Viitasaari,714,0,0,"0.0000 %"
Kotka,1818,0,0,"0.0000 %"
Ruokolahti,1089,0,0,"0.0000 %"
Sulkava,456,0,0,"0.0000 %"
Lapua,860,0,0,"0.0000 %"
Kuortane,243,0,0,"0.0000 %"
Siilinjärvi,805,0,0,"0.0000 %"
Kiuruvesi,547,0,0,"0.0000 %"
Kajaani,1364,0,0,"0.0000 %"
Lieksa,1040,0,0,"0.0000 %"
Sievi,287,0,0,"0.0000 %"
Raahe,1280,0,0,"0.0000 %"
Suomussalmi,865,0,0,"0.0000 %"
Keminmaa,446,0,0,"0.0000 %"
Kolari,647,0,0,"0.0000 %"
Janakkala,948,0,0,"0.0000 %"
Lahti,3394,0,0,"0.0000 %"
Jämsä,2057,0,0,"0.0000 %"
Luhanka,173,0,0,"0.0000 %"
Nousiainen,241,0,0,"0.0000 %"
Oripää,116,0,0,"0.0000 %"
Ulvila,710,0,0,"0.0000 %"
Jokioinen,402,0,0,"0.0000 %"
Sastamala,2042,0,0,"0.0000 %"
Ruovesi,527,0,0,"0.0000 %"
Karvia,234,0,0,"0.0000 %"
Hankasalmi,676,0,0,"0.0000 %"
Kivijärvi,182,0,0,"0.0000 %"
Miehikkälä,321,0,0,"0.0000 %"
Savitaipale,693,0,0,"0.0000 %"
Alavus,870,0,0,"0.0000 %"
Lappajärvi,361,0,0,"0.0000 %"
Toholampi,191,0,0,"0.0000 %"
Tuusniemi,375,0,0,"0.0000 %"
Sonkajärvi,654,0,0,"0.0000 %"
Nurmes,638,0,0,"0.0000 %"
Rääkkylä,222,0,0,"0.0000 %"
Vaala,372,0,0,"0.0000 %"
Siikajoki,367,0,0,"0.0000 %"
Oulu,5080,0,0,"0.0000 %"
Liminka,383,0,0,"0.0000 %"
Muonio,244,0,0,"0.0000 %"
Salla,394,0,0,"0.0000 %"
Pornainen,292,0,0,"0.0000 %"
Kärkölä,457,0,0,"0.0000 %"
Asikkala,971,0,0,"0.0000 %"
Orivesi,958,0,0,"0.0000 %"
Mynämäki,690,0,0,"0.0000 %"
Säkylä,625,0,0,"0.0000 %"
"Koski Tl",150,0,0,"0.0000 %"
Nakkila,353,0,0,"0.0000 %"
Urjala,566,0,0,"0.0000 %"
Virrat,644,0,0,"0.0000 %"
Parkano,579,0,0,"0.0000 %"
Konnevesi,317,0,0,"0.0000 %"
Kyyjärvi,172,0,0,"0.0000 %"
Virolahti,439,0,0,"0.0000 %"
Lappeenranta,2491,0,0,"0.0000 %"
Varkaus,1097,0,0,"0.0000 %"
Kurikka,1496,0,0,"0.0000 %"
Evijärvi,248,0,0,"0.0000 %"
Lestijärvi,115,0,0,"0.0000 %"
Kaavi,282,0,0,"0.0000 %"
Joroinen,522,0,0,"0.0000 %"
Tohmajärvi,394,0,0,"0.0000 %"
Haapavesi,459,0,0,"0.0000 %"
Kärsämäki,159,0,0,"0.0000 %"
Kempele,602,0,0,"0.0000 %"
Siikalatva,552,0,0,"0.0000 %"
Tervola,283,0,0,"0.0000 %"
Kittilä,758,0,0,"0.0000 %"
Savukoski,151,0,0,"0.0000 %"
Iitti,574,0,0,"0.0000 %"
Hartola,695,0,0,"0.0000 %"
Raisio,857,0,0,"0.0000 %"
Pöytyä,694,0,0,"0.0000 %"
Laitila,559,0,0,"0.0000 %"
Kokemäki,866,0,0,"0.0000 %"
Humppila,205,0,0,"0.0000 %"
Nokia,1133,0,0,"0.0000 %"
Ähtäri,525,0,0,"0.0000 %"
Kihniö,213,0,0,"0.0000 %"
Toivakka,222,0,0,"0.0000 %"
Kinnula,226,0,0,"0.0000 %"
Lemi,389,0,0,"0.0000 %"
Kauhajoki,912,0,0,"0.0000 %"
Vimpeli,221,0,0,"0.0000 %"
Isojoki,202,0,0,"0.0000 %"
Halsua,93,0,0,"0.0000 %"
Tervo,241,0,0,"0.0000 %"
Polvijärvi,315,0,0,"0.0000 %"
Rautalampi,368,0,0,"0.0000 %"
Outokumpu,384,0,0,"0.0000 %"
Haapajärvi,461,0,0,"0.0000 %"
Paltamo,291,0,0,"0.0000 %"
Tyrnävä,319,0,0,"0.0000 %"
Lumijoki,114,0,0,"0.0000 %"
Simo,197,0,0,"0.0000 %"
Sodankylä,670,0,0,"0.0000 %"
Utsjoki,175,0,0,"0.0000 %"
Hausjärvi,550,0,0,"0.0000 %"
Kouvola,4363,0,0,"0.0000 %"
Hollola,1262,0,0,"0.0000 %"
Padasjoki,706,0,0,"0.0000 %"
Pertunmaa,374,0,0,"0.0000 %"
Rusko,325,0,0,"0.0000 %"
Aura,312,0,0,"0.0000 %"
Eurajoki,648,0,0,"0.0000 %"
Pomarkku,183,0,0,"0.0000 %"
Ypäjä,171,0,0,"0.0000 %"
Ylöjärvi,1964,0,0,"0.0000 %"
Juupajoki,226,0,0,"0.0000 %"
Muurame,503,0,0,"0.0000 %"
Petäjävesi,516,0,0,"0.0000 %"
Vesanto,332,0,0,"0.0000 %"
Pieksämäki,1146,0,0,"0.0000 %"
Taipalsaari,382,0,0,"0.0000 %"
Kitee,921,0,0,"0.0000 %"
Isokyrö,359,0,0,"0.0000 %"
Alajärvi,759,0,0,"0.0000 %"
Kannus,296,0,0,"0.0000 %"
Veteli,199,0,0,"0.0000 %"
Lapinlahti,712,0,0,"0.0000 %"
Rautavaara,237,0,0,"0.0000 %"
Joensuu,2656,0,0,"0.0000 %"
Ylivieska,647,0,0,"0.0000 %"
Puolanka,368,0,0,"0.0000 %"
Muhos,640,0,0,"0.0000 %"
Pyhäntä,139,0,0,"0.0000 %"
Ranua,348,0,0,"0.0000 %"
Kemijärvi,874,0,0,"0.0000 %"
Orimattila,1071,0,0,"0.0000 %"
Tammela,595,0,0,"0.0000 %"
Sysmä,710,0,0,"0.0000 %"
Mäntyharju,1136,0,0,"0.0000 %"
Marttila,126,0,0,"0.0000 %"
Eura,840,0,0,"0.0000 %"
Siikainen,172,0,0,"0.0000 %"
Loimaa,1041,0,0,"0.0000 %"
Lempäälä,971,0,0,"0.0000 %"
Mänttä-Vilppula,694,0,0,"0.0000 %"
Laukaa,1272,0,0,"0.0000 %"
Multia,378,0,0,"0.0000 %"
Pihtipudas,567,0,0,"0.0000 %"
Juva,743,0,0,"0.0000 %"
Imatra,1148,0,0,"0.0000 %"
Heinävesi,441,0,0,"0.0000 %"
Soini,166,0,0,"0.0000 %"
Kaustinen,283,0,0,"0.0000 %"
Perho,171,0,0,"0.0000 %"
Iisalmi,829,0,0,"0.0000 %"
Juuka,499,0,0,"0.0000 %"
Kontiolahti,706,0,0,"0.0000 %"
Alavieska,178,0,0,"0.0000 %"
Pyhäjärvi,508,0,0,"0.0000 %"
Ristijärvi,156,0,0,"0.0000 %"
Hailuoto,118,0,0,"0.0000 %"
Taivalkoski,250,0,0,"0.0000 %"
Posio,379,0,0,"0.0000 %"
Hammarland,0,0,0,NULL
Föglö,0,0,0,NULL
Eckerö,0,0,0,NULL
Sottunga,0,0,0,NULL
Saltvik,0,0,0,NULL
Kökar,0,0,0,NULL
Geta,0,0,0,NULL
Kumlinge,0,0,0,NULL
Sund,0,0,0,NULL
Brändö,0,0,0,NULL
Maarianhamina,0,0,0,NULL
Vårdö,0,0,0,NULL
Jomala,0,0,0,NULL
Lemland,0,0,0,NULL
Finström,0,0,0,NULL
Lumparland,0,0,0,NULL
